loan_id,original_balance,credit_score_band,ltv_band,dti_band,state,loan_purpose,occupancy_type,property_type,origination_month,original_term_months,original_interest_rate
L000138,219000,700-739,71-80,>50,VA,Refinance,Investment,2-4 Unit,2018-01,360,3.62
L000080,430000,660-699,71-80,31-40,MO,Purchase,Second Home,2-4 Unit,2018-01,360,2.68
L000199,445000,780+,81-90,>50,GA,Cash-Out Refinance,Primary,Single Family,2018-01,360,3.41
L000365,230000,620-659,91-95,>50,MD,Refinance,Investment,Manufactured,2018-01,360,5.48
L000362,257000,660-699,91-95,41-50,MO,Refinance,Second Home,Single Family,2018-01,360,4.89
L000210,380000,<620,91-95,41-50,PA,Refinance,Primary,Condo,2018-01,360,3.03
L000360,377000,660-699,81-90,31-40,OH,Cash-Out Refinance,Investment,2-4 Unit,2018-01,360,4.35
L000105,400000,660-699,<=60,41-50,WA,Purchase,Primary,Condo,2018-01,360,5.36
L000166,417000,660-699,71-80,<=20,WA,Cash-Out Refinance,Second Home,Single Family,2018-01,360,3.05
L000394,388000,<620,91-95,>50,MO,Refinance,Second Home,Single Family,2018-01,360,5.71
L000399,212000,<620,<=60,>50,NJ,Refinance,Investment,Single Family,2018-02,360,4.41
L000159,305000,<620,91-95,21-30,MO,Cash-Out Refinance,Primary,Condo,2018-02,360,7.0
L000164,432000,<620,61-70,21-30,TX,Purchase,Second Home,Single Family,2018-02,360,5.3
L000295,303000,700-739,<=60,31-40,WI,Purchase,Investment,Single Family,2018-02,360,5.04
L000163,214000,780+,<=60,<=20,MA,Cash-Out Refinance,Investment,Condo,2018-02,360,5.0
L000013,386000,740-779,<=60,31-40,OH,Purchase,Investment,2-4 Unit,2018-02,360,3.42
L000209,186000,780+,<=60,>50,TN,Refinance,Second Home,2-4 Unit,2018-02,360,6.19
L000043,249000,780+,71-80,41-50,MA,Cash-Out Refinance,Investment,Single Family,2018-02,360,3.4
L000168,173000,<620,61-70,<=20,OH,Purchase,Investment,Condo,2018-02,360,6.28
L000421,339000,<620,71-80,41-50,IN,Refinance,Primary,Single Family,2018-02,360,4.69
L000053,281000,620-659,91-95,<=20,IL,Refinance,Second Home,Condo,2018-02,360,6.76
L000010,405000,<620,>95,41-50,IN,Purchase,Second Home,Manufactured,2018-02,360,2.83
L000219,272000,660-699,81-90,31-40,MI,Refinance,Second Home,2-4 Unit,2018-03,360,5.55
L000160,295000,700-739,81-90,21-30,OH,Cash-Out Refinance,Second Home,2-4 Unit,2018-03,360,3.58
L000032,175000,620-659,>95,31-40,NC,Purchase,Second Home,Single Family,2018-03,360,4.26
L000141,403000,700-739,91-95,>50,FL,Cash-Out Refinance,Primary,2-4 Unit,2018-03,360,5.22
L000186,378000,700-739,<=60,>50,MO,Cash-Out Refinance,Investment,Condo,2018-03,360,5.76
L000104,379000,620-659,61-70,<=20,AZ,Refinance,Second Home,Single Family,2018-03,360,3.38
L000007,492000,780+,81-90,31-40,MI,Refinance,Second Home,Condo,2018-03,360,2.78
L000115,333000,660-699,>95,21-30,MA,Cash-Out Refinance,Investment,Condo,2018-04,360,4.31
L000038,264000,660-699,<=60,31-40,VA,Refinance,Second Home,Manufactured,2018-04,360,2.61
L000052,321000,780+,91-95,<=20,NY,Purchase,Primary,Single Family,2018-04,360,2.74
L000396,420000,780+,81-90,21-30,MA,Cash-Out Refinance,Second Home,Condo,2018-04,360,4.83
L000265,379000,620-659,81-90,<=20,GA,Refinance,Investment,2-4 Unit,2018-04,360,5.51
L000056,387000,700-739,>95,>50,NC,Purchase,Investment,Condo,2018-04,360,3.93
L000499,397000,740-779,<=60,<=20,OH,Cash-Out Refinance,Second Home,Single Family,2018-04,360,5.03
L000475,331000,620-659,71-80,21-30,VA,Cash-Out Refinance,Investment,Single Family,2018-05,360,6.5
L000490,484000,<620,81-90,>50,TX,Purchase,Second Home,Single Family,2018-05,360,4.14
L000340,424000,780+,61-70,41-50,FL,Refinance,Investment,2-4 Unit,2018-05,360,5.89
L000088,311000,<620,81-90,31-40,NC,Refinance,Investment,Condo,2018-05,360,6.74
L000106,355000,740-779,91-95,21-30,MA,Cash-Out Refinance,Second Home,Condo,2018-05,360,4.21
L000131,456000,780+,71-80,41-50,WI,Refinance,Second Home,Manufactured,2018-06,360,5.82
L000273,242000,740-779,>95,<=20,TX,Refinance,Primary,Manufactured,2018-06,360,5.64
L000342,405000,660-699,<=60,31-40,WI,Purchase,Second Home,Condo,2018-06,360,3.81
L000054,189000,780+,81-90,21-30,TN,Cash-Out Refinance,Second Home,Manufactured,2018-06,360,3.7
L000091,153000,<620,71-80,>50,TX,Cash-Out Refinance,Primary,Single Family,2018-07,360,4.19
L000243,224000,660-699,91-95,>50,WA,Refinance,Second Home,Condo,2018-07,360,5.02
L000426,418000,<620,61-70,>50,NJ,Refinance,Primary,2-4 Unit,2018-07,360,5.39
L000206,255000,620-659,71-80,>50,IN,Cash-Out Refinance,Investment,Condo,2018-07,360,4.5
L000034,465000,620-659,91-95,21-30,MA,Cash-Out Refinance,Primary,Single Family,2018-07,360,2.67
L000309,497000,660-699,61-70,21-30,MD,Cash-Out Refinance,Investment,Manufactured,2018-07,360,6.34
L000481,177000,780+,91-95,>50,MD,Refinance,Second Home,Single Family,2018-07,360,4.96
L000315,397000,620-659,61-70,<=20,AZ,Cash-Out Refinance,Investment,Manufactured,2018-08,360,4.89
L000423,320000,620-659,81-90,>50,OH,Refinance,Investment,Manufactured,2018-08,360,2.56
L000337,171000,740-779,81-90,21-30,NC,Cash-Out Refinance,Second Home,Manufactured,2018-08,360,5.6
L000081,497000,740-779,91-95,31-40,VA,Refinance,Investment,Single Family,2018-08,360,6.31
L000084,304000,780+,91-95,41-50,IN,Purchase,Second Home,2-4 Unit,2018-08,360,6.97
L000494,294000,620-659,<=60,>50,MI,Refinance,Second Home,Manufactured,2018-08,360,2.71
L000254,405000,700-739,91-95,41-50,OH,Cash-Out Refinance,Primary,Single Family,2018-08,360,6.51
L000047,378000,700-739,<=60,41-50,GA,Refinance,Primary,Condo,2018-08,360,5.92
L000242,279000,700-739,91-95,>50,GA,Refinance,Investment,2-4 Unit,2018-08,360,5.26
L000079,192000,620-659,>95,>50,MA,Cash-Out Refinance,Investment,Single Family,2018-09,360,4.37
L000041,365000,780+,61-70,>50,MA,Purchase,Second Home,Single Family,2018-09,360,5.06
L000358,162000,620-659,>95,41-50,NC,Refinance,Investment,2-4 Unit,2018-09,360,3.71
